Date,Time,Open,High,Low,Close,Volume
12/31/2024,2:15 PM,6.5804,6.74,6.51,6.7399,11782
12/31/2024,2:30 PM,6.6552,6.7,6.5,6.5464,11964
12/31/2024,2:45 PM,6.5,6.5688,5.81,6.3065,63250
12/31/2024,3:00 PM,6.2,6.35,6.09,6.2306,44703
12/31/2024,3:15 PM,6.221,6.5,6.2,6.38,44972
12/31/2024,3:30 PM,6.32,6.37,6.211,6.32,21853
12/31/2024,3:45 PM,6.3,6.35,6.24,6.35,22461
12/31/2024,4:00 PM,6.3,6.45,6.27,6.34,62074
01/02/2025,9:45 AM,6.9899,7,6.35,6.35,158607
01/02/2025,10:00 AM,6.5174,6.85,6.45,6.77,50246
01/02/2025,10:15 AM,6.78,7,6.69,7,29708
01/02/2025,10:30 AM,6.982,7,6.82,6.97,58448
01/02/2025,10:45 AM,6.97,7.05,6.73,6.73,38931
01/02/2025,11:00 AM,6.75,6.99,6.6501,6.96,25009
01/02/2025,11:15 AM,6.99,7.2,6.9201,7.19,46125
01/02/2025,11:30 AM,7.2,7.24,7,7.11,201661
01/02/2025,11:45 AM,7.09,7.2399,7,7.081,176327
01/02/2025,12:00 PM,7.15,7.37,7.15,7.305,26711
01/02/2025,12:15 PM,7.349,7.36,7.21,7.285,31413
01/02/2025,12:30 PM,7.22,7.427,7,7.0098,36913
01/02/2025,12:45 PM,7.035,7.26,6.7701,6.9741,49929
01/02/2025,1:00 PM,7.05,7.12,6.8288,6.94,22785
01/02/2025,1:15 PM,6.965,7.19,6.7,7.025,42357
01/02/2025,1:30 PM,7.1085,7.1085,6.92,7.02,11610
01/02/2025,1:45 PM,6.93,7,6.83,7,8452
01/02/2025,2:00 PM,6.965,7.03,6.95,6.9999,2248
01/02/2025,2:15 PM,7.05,7.05,6.975,6.975,2910
01/02/2025,2:30 PM,6.95,7.39,6.95,7.39,25807
01/02/2025,2:45 PM,7.3,7.61,7.2,7.55,85615
01/02/2025,3:00 PM,7.53,8,7.36,7.89,124879
01/02/2025,3:15 PM,7.96,8.2,7.75,8.1999,93133
01/02/2025,3:30 PM,8.15,8.38,7.75,7.91,133823
01/02/2025,3:45 PM,8.03,8.59,7.91,8.56,272314
01/02/2025,4:00 PM,8.572,8.85,8.45,8.84,115957
01/03/2025,9:45 AM,8.63,9.1,7.95,9,166586
01/03/2025,10:00 AM,8.87,9.16,8.55,8.93,93648
